"periodo_codigo";"periodo";"sexo";"variavel";"taxa_desocupacao"
"202103";"3º trimestre 2021";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"202104";"4º trimestre 2021";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,0"
"202104";"4º trimestre 2021";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,9"
"202104";"4º trimestre 2021";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202201";"1º trimestre 2022";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"202201";"1º trimestre 2022";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,7"
"202201";"1º trimestre 2022";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202202";"2º trimestre 2022";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"202202";"2º trimestre 2022";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,5"
"202202";"2º trimestre 2022";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,3"
"202203";"3º trimestre 2022";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"202203";"3º trimestre 2022";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,9"
"202203";"3º trimestre 2022";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,7"
"202204";"4º trimestre 2022";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
"202204";"4º trimestre 2022";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,8"
"202204";"4º trimestre 2022";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202301";"1º trimestre 2023";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,2"
"202301";"1º trimestre 2023";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,8"
"202301";"1º trimestre 2023";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,8"
"202302";"2º trimestre 2023";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"202302";"2º trimestre 2023";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,5"
"202302";"2º trimestre 2023";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"202303";"3º trimestre 2023";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,4"
"202303";"3º trimestre 2023";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,3"
"202303";"3º trimestre 2023";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,7"
"202304";"4º trimestre 2023";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,0"
"202304";"4º trimestre 2023";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,2"
"202304";"4º trimestre 2023";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,4"
"202401";"1º trimestre 2024";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
