fator,nivel,dezena,p_media,p_hdi95_inf,p_hdi95_sup,ocorr_esperadas_100_concursos_media,delta_100_media,delta_100_hdi95_inf,delta_100_hdi95_sup,prob_delta_100_maior_0,prob_abs_delta_100_gt_1,prob_abs_delta_100_gt_2,prob_abs_delta_100_gt_3,razao_media,razao_hdi95_inf,razao_hdi95_sup,contagem_observada,n_slots_nivel,abs_delta_100_media
faixa_temporal_metade_concursos,segunda_metade,12,0.013637165124517268,0.011179338722213428,0.0159099150586851,8.182299074710361,-1.1058387422412321,-2.778574169514699,0.7459812236492096,0.1164,0.5704,0.1596,0.0172,0.8840246639892076,0.7054724226415273,1.0700744314014266,123,9024,1.1058387422412321
faixa_temporal_metade_concursos,primeira_metade,11,0.015529879104948756,0.0129918538042384,0.018028543936608684,9.317927462969253,-1.0994784108351425,-3.02223604108091,0.822964715032954,0.138,0.568,0.18,0.0264,0.8974492190908578,0.7232532313330307,1.0792028922983086,140,9018,1.0994784108351425
faixa_temporal_metade_concursos,segunda_metade,11,0.01918416390327189,0.016643387878359724,0.022374857103288195,11.510498341963133,1.0930924681587353,-0.8098849549412,3.245811495559396,0.8592,0.546,0.1812,0.0384,1.1083157881982744,0.9158295500956851,1.3209286566191725,173,9024,1.0930924681587353
faixa_temporal_metade_concursos,segunda_metade,5,0.016236636685194383,0.013820683440823036,0.018909714560882827,9.74198201111663,-1.068566264493786,-2.9218477267091365,0.8610113240980232,0.1376,0.554,0.1728,0.02,0.9038431014707276,0.7405122136598229,1.081862447111448,146,9024,1.068566264493786
faixa_temporal_metade_concursos,primeira_metade,5,0.019779709651574714,0.01714925644272498,0.022674421043848425,11.867825790944828,1.0572775153344136,-0.9983563848339726,3.1003483699930174,0.8468,0.5528,0.1816,0.034,1.101065313961739,0.9028689088337917,1.2907877343208367,179,9018,1.0572775153344136
faixa_temporal_tercil_concursos,inicial,10,0.015273446754104811,0.012178184585986185,0.018167161367883385,9.164068052462886,-2.5620693459063544,-4.718082586874636,-0.37167351075193744,0.0116,0.9196,0.7,0.3496,0.7835940147524356,0.5992538017987856,0.9517981513073157,92,6012,2.5620693459063544
faixa_temporal_tercil_concursos,recente,46,0.02141388788056553,0.017784883482343524,0.02483161486839083,12.848332728339319,2.30760994870103,-0.22123224637079844,4.6387189293438595,0.9624,0.8504,0.5968,0.2988,1.2228507590427804,0.9822145028095742,1.463900317014849,129,6018,2.30760994870103
faixa_temporal_tercil_concursos,intermediária,2,0.019917237777111386,0.016590937711238044,0.023424196671856676,11.950342666266831,2.0739940112074224,-0.19744435543401287,4.51083036076216,0.9556,0.8192,0.5164,0.222,1.213975644426863,0.945552126079384,1.4508633453088313,120,6012,2.0739940112074224
faixa_temporal_tercil_concursos,inicial,9,0.012664686503382507,0.010113573022903397,0.015576685455379841,7.598811902029504,-2.0535784114213538,-4.034118917652311,-0.04958691418557731,0.0236,0.8412,0.5324,0.174,0.789929368597773,0.6168386385833464,1.0039298164103925,76,6012,2.0535784114213538
faixa_temporal_tercil_concursos,intermediária,38,0.014495681436041352,0.011311979491562629,0.017353210722784257,8.697408861624812,-2.017676843186624,-4.2828847405218955,0.09042030207950524,0.0384,0.8268,0.5124,0.1856,0.8140992476121645,0.6199734347188094,1.0057783168583485,87,6012,2.017676843186624
faixa_temporal_tercil_concursos,recente,11,0.020383663809391203,0.01674741352211782,0.02389209703208422,12.230198285634723,1.8127924118303258,-0.6014478440692549,4.254897340637219,0.9348,0.7536,0.4268,0.166,1.1776615573386673,0.934970175139118,1.4241203343555915,123,6018,1.8127924118303258
faixa_temporal_tercil_concursos,recente,38,0.02086495677629116,0.017309503595746074,0.024374925701917606,12.518974065774696,1.8038883609632619,-0.4529756136198736,4.274713617354471,0.9316,0.7484,0.4356,0.1572,1.171789385210158,0.9591413984147581,1.4167420913950186,126,6018,1.8038883609632619
faixa_temporal_tercil_concursos,recente,24,0.013639257670437468,0.010568405869857616,0.016467378361945156,8.18355460226248,-1.7894289076788663,-3.8390830884081875,0.24070069880330752,0.0444,0.76,0.4288,0.1332,0.8232051008426866,0.6198833790654978,1.0140476539721208,82,6018,1.7894289076788663
